GWEvent,SC Spec,SC HS+SSD,SC HS+gwSSD,AbsE Spec,AbsE HS+SSD,AbsE HS+gwSSD
GW150914,0.00172610949170323,0.0794644984901977,0.0843958103329935,0.25702807301581,0.00950392908000051,0.0104065936689179
GW151012,0.000322350109141869,0.0174560330532203,0.0175497359970202,0.0303141286023615,0.00144823700226244,0.00149387837644776
GW151226,5.86106517850586e-05,0.00931171422817945,0.0121469510871626,0.00148895656208563,0.000223869812434227,0.00024242396371008
GW170104,5.21630697519627e-05,0.0143780115542568,0.0140187218195049,0.000991944365690375,0.000255411146324453,0.00024392488833967
GW170608,0.000119089474674816,0.0158132354485084,0.0156786450508941,0.00233811568637159,0.000276837469384612,0.000273336854578053
GW170729,0.00019717343652444,0.0179023333116142,0.018973132209008,0.00413225290368202,0.000186313214809179,0.000195582848028832
GW170809,0.000812599688974149,0.053629855809713,0.057379800822231,0.177588872748424,0.00967974226565613,0.00954862470755611
GW170814,0.000427001848245847,0.0463292295392114,0.0455638511533343,0.0792687752978061,0.00803338321415591,0.00757580462828526
GW170818,0.00114783872380696,0.0489381838469261,0.0489381838469261,0.304402822285808,0.0115808861474129,0.0115808861474129
GW170823,4.78550499106065e-05,0.0106701733266656,0.0103281398989392,0.0101080994476295,0.00194080292681556,0.0018784394004139
GW190408_181802,0.000402750526814321,0.033411281396738,0.0326452735832071,0.0052640530163365,0.000375875679090719,0.000384619451386734
GW190412,0.00069548528890462,0.0488678337618624,0.0481455616649748,0.00603207828588554,0.00038579371941967,0.000382091720371199
GW190413_052954,9.7585814072657e-05,0.0117276446404227,0.0117548415379401,0.00282572063381604,0.000284043012683249,0.000284403451724365
GW190413_134308,0.000280279678101343,0.0152938456858352,0.015719678585838,0.00237393535803082,0.00011621911662378,0.000120206546210296
GW190421_213856,9.07979166391312e-05,0.0164909850089004,0.0165871589719686,0.00315721416872463,0.000464414773403589,0.000459238046661269
GW190424_180648,0.00056794923002066,0.0393189313972413,0.0415765324174713,0.00922092744571072,0.000545440266954684,0.000574187781014952
GW190425,9.49911713383748e-05,0.0201085775953556,0.0214285589058239,0.00478545487091417,0.000840689568508656,0.000960917738600333
GW190503_185404,0.000211486063134307,0.0128901073296317,0.0121142405388999,0.0389041898809832,0.00194552229505761,0.00188422343680242
GW190512_180714,0.00018146099415057,0.0133010987058315,0.013390710904792,0.00590517713365126,0.00039061718073341,0.000384584257362023
GW190513_205428,0.000140621266226435,0.0116831837388344,0.0117295457733407,0.0103970988508679,0.000740142405934365,0.000746245291324159
GW190514_065416,9.87984539608434e-05,0.0231233292858405,0.0212514959306657,0.00982095365293926,0.00194109981946921,0.00188056403070335
GW190517_055101,0.00026708500647287,0.0226761860884484,0.0226487879841367,0.0048058385896633,0.000333928815443774,0.000333473417113062
GW190519_153544,0.000259088610697745,0.0199611817325753,0.0187607812515515,0.00172980189912136,0.00011838170710218,9.75723604402586e-05
